1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
660,512,148,453,1348,TA,7590,108,5,6,660,1966,1966,155000
1053,567,413,750,1053,Ex,8973,80,7,5,1008,1958,1991,150000
1216,445,479,487,2157,Gd,14200,66,6,7,924,1966,1966,226000
1022,695,297,390,2054,Gd,12224,48,5,6,992,2000,2000,244000
1327,405,658,624,1327,Gd,7388,0,6,5,1063,1959,2002,150750
1296,1005,262,471,1296,Gd,6853,25,5,8,1267,2001,2002,220000
1721,570,891,440,1721,TA,10335,96,6,5,1461,1968,1993,180000
1682,0,1304,530,1682,TA,10400,0,6,7,1304,1970,1970,174000
1214,695,519,318,1214,TA,10355,111,5,5,1214,1967,1967,143000
1959,0,1907,766,1959,TA,11070,0,5,7,1907,1988,1989,171000
1004,668,336,660,1852,Gd,9066,106,5,8,1004,1999,2000,230000
928,821,107,470,1764,Gd,15426,99,5,6,928,1997,1997,231500
864,432,432,0,864,TA,10500,0,5,4,864,1971,1971,115000
1734,1300,434,660,1734,Gd,11645,24,5,7,1734,2005,2005,260000
910,507,403,720,1385,TA,8520,0,4,5,910,1952,1952,166000
1501,679,811,577,1501,Gd,10335,29,5,7,1490,1999,1999,204000
1728,1332,396,504,1728,TA,9100,0,5,5,1728,1963,1963,125000
970,0,970,380,1709,Gd,2522,40,5,6,970,2004,2006,130000
875,209,506,180,875,TA,6120,0,7,5,715,1931,1993,105000
884,0,884,434,2035,Gd,9505,48,5,7,884,2001,2001,222500
1080,680,400,0,1080,Gd,7500,0,5,7,1080,2004,2005,141000
896,0,896,240,1344,TA,6240,114,4,5,896,1936,1950,115000
969,716,253,440,969,TA,10356,0,6,5,969,1975,1975,122000
1710,1400,310,866,1710,Gd,13891,102,5,8,1710,2007,2008,372402
1097,416,409,495,1993,TA,14803,66,5,6,825,1971,1971,190000
1252,429,93,564,1252,TA,13500,0,7,6,1602,1960,1975,235000
1200,0,1200,312,1200,TA,11340,0,5,6,1200,1923,1950,125000
572,0,572,0,1096,TA,9600,8,5,6,572,1924,1950,79000
1040,0,0,625,1040,TA,7200,0,7,5,0,1950,1950,109500
774,0,774,680,1968,Ex,12003,75,5,8,774,2009,2010,269500
991,222,769,678,1947,Gd,12552,136,5,7,991,2004,2005,254900
1392,57,1335,576,2462,Gd,19378,132,5,7,1392,2005,2006,320000
1232,660,572,516,1232,TA,11120,0,6,6,1232,1984,1984,162500
1572,1016,556,726,2668,Ex,13688,0,5,9,1572,2003,2004,412500
1541,1201,340,532,1541,Gd,12182,70,5,7,1541,2005,2005,220000
882,0,882,0,882,TA,5500,0,6,4,882,1956,1956,103200
1149,370,779,216,1616,Gd,5400,0,7,6,1149,1926,2004,152000
808,351,112,0,1355,TA,10106,0,7,5,644,1940,1999,127500
1867,379,470,303,1867,TA,10708,0,5,5,1617,1955,1993,190000
1610,1288,294,789,2161,Ex,10562,120,5,8,1582,2007,2007,325624
840,0,840,440,1720,Gd,8244,48,5,7,840,2004,2004,183500
1707,0,1686,511,1707,TA,16669,64,6,8,1686,1981,1981,228000
854,360,360,660,1382,TA,12358,0,6,5,720,1941,1950,128500
1656,639,441,528,1656,TA,31770,62,5,6,1080,1960,1960,215000
1064,495,354,504,1767,Gd,5306,35,7,7,1064,1987,1987,239000
1362,288,700,504,1362,TA,10197,20,5,6,1362,1961,1961,163000
1651,1398,0,616,1651,TA,12416,0,5,6,1606,1986,1986,184000
2158,477,725,576,2158,Gd,12615,29,7,6,1202,1950,2001,243000
1164,831,320,521,2060,TA,10029,228,5,6,1151,1988,1989,211000
1252,57,554,451,1920,Gd,13650,0,5,5,1052,1958,1958,172500
2234,1904,312,1166,2234,Ex,17423,60,5,9,2216,2008,2009,501837
968,0,968,480,968,TA,8520,0,6,5,968,1923,2006,100000
769,436,320,440,1525,Gd,2117,0,5,6,756,2000,2000,177000
901,352,441,216,1802,TA,7588,0,6,7,793,1920,1950,200100
1340,0,0,252,1340,TA,9060,0,6,5,0,1957,2006,120000
1362,0,1362,484,2082,Gd,11426,238,5,7,1362,2003,2003,200000
936,0,504,576,1252,TA,7438,0,8,5,504,1908,1991,127000
1518,0,1107,840,3608,Ex,22950,260,9,10,1107,1892,1993,475000
1217,611,577,497,1217,Gd,9947,27,5,7,1188,1990,1991,173000
808,0,660,180,1656,TA,10410,0,7,5,660,1916,1987,135000
1224,1086,0,528,1224,TA,7018,0,5,5,1086,1979,1979,153337
1593,1153,440,682,1593,Ex,4923,120,5,8,1593,2001,2002,286000
1549,297,556,440,2727,Gd,10570,74,8,8,853,1932,1994,315000
725,626,99,484,1479,Gd,7472,32,9,7,725,1972,2004,184000
1431,560,871,666,1431,Gd,9017,35,5,7,1431,1999,1999,192000
970,0,970,380,1709,Gd,2522,40,5,7,970,2004,2004,130000
864,390,474,352,864,TA,7180,0,7,5,864,1972,1972,127000
855,566,289,440,1456,TA,2280,0,6,6,855,1976,1976,148500
1726,1126,600,786,1726,Ex,9416,138,5,7,1726,2007,2007,311872
1360,1036,140,795,3112,Gd,25419,16,4,8,1360,1918,1990,235000
929,0,755,0,2229,TA,5520,198,6,6,755,1912,1950,104000
1713,1088,625,856,1713,Ex,9591,26,5,8,1713,2004,2005,274900
1121,0,1121,440,1121,TA,8546,64,5,4,1121,2003,2004,140000
1279,641,276,473,1279,TA,10125,83,6,6,1196,1977,1977,171500
865,617,0,398,1310,TA,7000,0,6,6,617,1924,1950,112000
848,662,186,420,848,Gd,4438,0,5,6,848,2004,2004,149000
720,312,408,240,1284,TA,3500,35,7,5,720,1947,1950,110000
1442,0,1424,500,1442,TA,11851,34,5,7,1424,1990,1990,180500
1696,0,1140,349,1696,TA,13673,30,5,5,1140,1962,1962,143900
1100,419,375,312,1100,TA,12493,0,5,4,1100,1960,1960,141000
1180,1065,92,454,2062,TA,14364,55,5,7,1157,1988,1989,277000
1092,787,305,504,1092,TA,8250,0,7,6,1092,1964,1964,145000
864,468,396,0,864,TA,5604,0,6,5,864,1925,1950,98000
1212,36,1176,460,1212,Gd,10420,22,5,6,1212,2009,2009,186000
932,822,78,644,1852,Gd,8640,108,5,7,900,2009,2009,252678
990,716,274,576,990,TA,13568,0,5,5,990,1995,1995,156000
689,378,311,299,1392,TA,10900,36,7,6,689,1977,1977,161750
1236,360,710,447,1236,Gd,10011,0,6,5,1070,1957,1996,134450
1436,946,490,484,1436,Gd,8450,98,5,7,1436,2004,2004,210000
810,0,686,210,1328,TA,9906,172,4,4,686,1925,1950,107000
1137,341,457,431,1954,Gd,15660,119,9,7,798,1939,2006,311500
1248,16,1232,438,1248,Gd,3010,0,5,7,1248,2005,2006,167240
1498,0,1498,675,1498,Gd,8990,33,5,7,1498,2006,2006,204900
1010,0,1010,390,2267,Gd,8068,46,5,6,1010,2002,2002,200000
811,550,163,434,1552,TA,11475,208,6,6,713,1975,1975,179900
864,524,160,576,864,TA,10500,0,6,4,864,1971,1971,97000
2392,56,2336,968,2392,Ex,13472,105,5,10,2392,2003,2003,386250
630,0,630,280,1302,TA,1680,0,5,5,630,1971,1971,112000
1214,565,638,721,2520,Gd,9950,114,5,7,1203,1995,1995,290000
483,321,162,280,987,TA,1869,0,6,6,483,1970,1970,106000
912,842,70,336,912,TA,8521,0,5,5,912,1967,1967,125000
1555,16,1357,430,1555,Gd,3182,20,5,7,1373,2005,2006,192500
1194,0,1194,312,1194,TA,8760,0,6,6,1194,1959,1959,148000
1490,689,773,810,2794,Ex,15138,146,5,8,1462,1995,1996,403000
483,0,483,288,987,TA,1680,0,5,6,483,1972,1972,94500
894,182,0,308,894,TA,10650,0,6,5,894,1976,1976,128200
860,625,235,440,1960,Gd,7851,48,5,6,860,2002,2002,216500
483,358,125,264,987,TA,1680,0,3,6,483,1971,1971,89500
1414,24,1390,494,1414,Gd,8773,105,5,7,1414,2004,2004,185500
1014,402,594,457,1744,Gd,9453,70,7,7,996,1993,2003,194500
1694,0,1694,818,1694,Gd,12030,228,5,8,1694,2007,2007,318000
798,94,641,220,1487,TA,8741,140,4,6,735,1945,1950,113000
1566,1078,488,750,1566,Gd,9000,168,5,8,1566,2008,2008,262500
866,329,357,0,866,Gd,3880,42,9,5,686,1945,1997,110500
889,0,540,352,1440,TA,5000,0,4,5,540,1900,1950,79000
626,0,626,288,1217,TA,10762,28,6,6,626,1980,1980,120000
1222,695,253,463,2110,Gd,8880,130,5,7,948,1994,2002,205000
1872,929,916,604,1872,TA,10400,39,5,7,1845,1988,1988,241500
908,0,1020,440,1928,Fa,9142,60,8,6,1020,1910,1950,137000
1375,0,1367,451,1375,TA,11310,30,5,6,1367,1954,1954,140000
840,0,840,500,1668,Gd,11317,68,5,7,840,2003,2003,180000
1444,697,747,389,2144,Gd,159000,98,7,6,1444,1958,2006,277000
1306,0,728,0,1306,Fa,5350,0,2,3,728,1940,1966,76500
1625,1573,0,538,1625,Gd,4750,0,5,8,1573,2006,2007,235000
798,0,798,520,1640,Gd,8366,45,5,6,798,2004,2004,173000
1302,270,452,309,1302,Gd,9350,0,7,6,1302,1964,1991,158000
1314,922,392,294,1314,TA,8400,0,6,5,1314,1957,1957,145000
1005,0,975,429,2291,Gd,8738,0,5,7,975,1999,1999,230000
864,503,361,673,1728,Gd,8791,56,5,6,864,2003,2003,207500
1604,1334,270,660,1604,Gd,8814,110,5,7,1604,2006,2006,220000
963,361,602,564,1792,Gd,12435,96,5,7,963,2001,2001,231500
882,0,0,308,882,TA,12702,45,5,5,0,1956,1956,97000
1382,672,0,884,1382,TA,19296,0,5,6,1362,1962,1962,176000
1482,0,1482,868,2574,Ex,9588,148,5,8,1482,2007,2007,276000
1212,506,0,492,1212,TA,8471,12,7,6,506,1977,1995,151000
926,234,0,484,1316,TA,5500,0,7,5,926,1929,2001,130000
764,0,680,504,764,TA,5232,0,5,5,680,1925,2004,73000
1422,588,606,576,1422,Gd,12090,0,6,6,1422,1981,1981,175500
802,714,88,413,1511,TA,11207,75,5,6,802,1997,1997,185000
1052,378,342,240,2192,Gd,8400,24,8,5,720,1939,1997,179500
778,403,212,924,778,TA,6900,25,6,5,740,1940,1955,120500
1113,751,392,504,1113,TA,7917,30,7,6,1143,1976,1976,148000
1095,0,1095,1053,1939,Gd,10728,51,5,8,1095,2006,2006,266000
1363,226,96,439,1363,TA,39104,0,7,7,1385,1954,2005,241500
1164,524,628,671,2270,Gd,11764,57,7,8,1152,1999,2007,290000
1632,620,0,338,1632,TA,9600,0,6,6,1240,1958,1988,139000
816,546,270,264,816,TA,8314,0,7,5,816,1982,1982,124500
952,0,952,672,1548,Ex,7264,0,7,7,952,1925,2007,205000
1560,0,1560,573,1560,Gd,9196,150,5,7,1560,2003,2003,201000
864,120,744,400,864,TA,19138,0,5,4,864,1951,1951,141000
2121,0,2121,732,2121,Ex,14450,98,5,9,2121,2006,2007,415298
1156,392,768,505,2022,TA,10005,117,5,7,1160,1977,1977,192000
1175,421,386,575,1982,Gd,11287,84,6,7,807,1989,1989,228500
1262,905,357,572,1262,Gd,7200,120,5,6,1262,2006,2006,185000
1314,904,410,626,1314,Gd,5063,62,5,7,1314,2007,2008,207500
1468,0,1468,898,1468,Gd,9612,150,5,8,1468,2008,2009,244600
1575,430,1145,529,1575,Gd,8012,0,5,6,1575,1992,1992,179200
625,0,625,528,1250,Gd,4251,54,5,7,625,2006,2007,164700
1085,600,312,440,1734,Gd,9786,0,7,6,912,1962,1981,159000
858,614,244,0,858,TA,8125,0,4,4,858,1971,1971,88000
900,450,432,280,900,TA,9819,0,5,5,882,1967,1967,122000
698,0,698,384,1396,TA,8730,0,7,6,698,1915,2003,153575
1079,0,1079,685,1919,Gd,15611,51,5,8,1079,2006,2006,233230
936,210,570,0,1716,Fa,5687,184,6,5,780,1912,2000,135900
1148,292,476,281,1716,TA,11409,0,4,5,768,1949,2008,131000
1468,795,0,539,2263,Gd,16659,250,7,7,795,1977,1994,235000
1644,1285,131,418,1644,TA,9600,0,5,6,1416,1953,1953,167000
1003,819,184,588,1003,TA,7937,0,6,6,1003,1984,1984,142500
910,420,490,282,1558,TA,13710,0,5,5,910,1950,1950,152000
975,649,326,576,1950,Gd,7399,10,5,7,975,1997,1998,239000
1041,384,143,539,1743,TA,11700,0,6,6,702,1968,1968,175000
1152,0,1092,300,1152,Gd,14000,36,8,6,1092,1950,2004,158500
1336,841,324,375,1336,TA,15750,0,5,5,1165,1953,1953,157000
1210,281,747,683,2452,Gd,16226,50,5,8,1028,1998,1999,267000
1541,0,1541,843,1541,Gd,13704,81,5,7,1541,2001,2002,205000
894,894,0,552,894,TA,9800,0,7,5,894,1972,1972,149900
1675,0,1470,870,3493,Gd,18386,0,9,7,1470,1880,2002,295000
2000,1464,536,888,2000,Gd,10386,0,5,8,2000,2004,2005,305900
1122,700,0,746,2243,Gd,13474,44,5,7,700,1990,1991,225000
1035,0,319,0,1406,Fa,7920,144,7,6,319,1920,1950,89500
861,262,599,539,861,TA,12342,0,5,4,861,1940,1950,82500
1944,1274,622,708,1944,Ex,12378,175,5,9,1896,2003,2004,360000
697,518,179,420,1501,Gd,7685,63,5,6,697,1993,1994,165600
972,680,292,240,972,TA,8000,0,6,6,972,1948,2002,132000
793,507,286,410,1118,TA,7800,0,7,5,793,1939,1950,119900
2036,1236,80,513,2036,TA,215245,0,5,7,2136,1965,1965,375000
832,16,712,546,1641,Ex,9600,0,7,7,728,1925,1990,178000
716,425,291,432,1432,Gd,7795,51,5,7,716,2004,2005,188500
1153,692,153,484,2353,Ex,13005,195,7,7,845,1980,1980,260000
1088,0,1088,1025,1959,Gd,9000,46,5,8,1088,2006,2006,270000
1372,987,360,656,2646,Gd,9900,60,5,7,1347,1993,1993,260000
1472,1036,336,588,1472,TA,14115,48,5,7,1372,1980,1980,187500
1249,0,1249,840,2596,Gd,16259,154,5,9,1249,2006,2006,342643
1136,970,166,872,2468,Gd,12099,154,5,8,1136,2004,2004,354000
1553,28,0,576,2730,Gd,10380,96,5,7,1502,1986,1987,301000
1163,256,906,220,1163,TA,5820,98,8,3,1162,1955,2005,126175
1898,0,710,564,2978,Gd,11275,0,7,7,710,1967,2007,242000
803,116,604,360,803,TA,5000,0,6,5,720,1941,1950,87000
1719,1619,100,473,1719,Gd,10846,30,5,8,1719,1993,1993,324000
1383,565,818,292,1383,TA,11600,45,5,6,1383,1960,1960,145250
1445,0,844,441,2134,Gd,11888,60,6,6,844,1916,1994,214500
596,0,596,189,1192,TA,6402,0,5,5,596,1920,1950,78000
1728,40,1424,352,1728,TA,10624,0,4,5,1728,1964,1964,119000
1056,846,210,308,1056,TA,8176,0,6,5,1056,1958,1992,139000
1629,1124,1603,880,1629,Gd,10655,0,5,8,3206,2003,2004,284000
1358,720,638,484,1358,Gd,8198,30,5,7,1358,2004,2004,207000
943,828,115,472,1638,TA,9042,38,5,6,943,1998,1998,192000
1619,1249,103,529,1786,TA,164660,0,6,5,1499,1965,1965,228950
1922,1249,673,676,1922,Gd,14157,51,5,9,1922,2005,2006,377426
1536,810,726,532,1536,Gd,9135,74,5,7,1536,2002,2003,214000
1621,213,995,440,1621,Gd,14145,45,7,7,1208,1984,1998,202500
1215,585,630,297,1215,TA,12400,0,7,6,1215,1958,1998,155000
993,0,967,431,1908,Gd,14191,0,5,8,967,2002,2002,202900
841,0,721,294,841,TA,8400,0,4,4,721,1950,1950,82000
1040,0,0,400,1040,TA,8544,0,4,3,0,1949,1950,87500
1684,28,1656,564,1684,Ex,8849,72,5,9,1684,2005,2005,266000
536,129,175,336,1112,TA,2592,0,3,5,536,1976,1976,85000
972,0,972,312,1577,Fa,6435,0,5,6,972,1939,1950,140200
958,498,460,301,958,TA,12772,0,8,6,958,1960,1998,151500
1478,1270,208,498,1478,TA,17600,40,5,6,1478,1960,1960,157500
764,573,191,474,1626,Gd,2448,27,5,7,764,2003,2004,154000
1848,1410,438,706,2728,Ex,20431,0,5,9,1848,2005,2006,437154
1869,0,1869,617,1869,Ex,7820,54,5,9,1869,2007,2007,318061
1453,1082,371,445,1453,Gd,5271,80,5,7,1453,1986,1986,190000
616,236,0,200,1111,TA,9084,0,6,5,616,1941,1950,95000
720,0,624,484,720,TA,8520,0,8,6,624,1928,2003,105900
1192,388,552,240,1595,TA,8400,0,5,6,940,1940,2000,140000
1200,334,322,521,1200,Gd,11249,26,5,6,1200,1995,1995,177500
1167,560,598,400,1167,Gd,9248,26,6,6,1158,1992,1992,173000
1142,874,268,528,1142,TA,4224,90,5,5,1142,1976,1976,134000
1352,300,468,288,1352,Gd,6930,0,4,5,1062,1958,1958,130000
1086,956,130,592,1924,Gd,12011,75,5,8,1086,1998,1998,280000
912,773,115,470,912,TA,7540,0,6,6,888,1978,1978,156000
988,399,484,240,1505,TA,9144,0,5,5,883,1940,1982,145000
495,0,0,672,1922,Gd,7301,0,5,7,0,2003,2003,198500
483,162,321,264,987,Gd,1680,0,8,6,483,1972,2007,118000
790,712,84,566,1574,TA,18800,111,5,6,796,1976,1976,190000
672,456,216,468,1344,TA,10690,128,7,5,672,1920,1997,147000
1394,609,785,514,1394,TA,9500,76,5,6,1394,1963,1963,159000
1431,371,728,296,1431,TA,9150,110,5,6,1099,1962,1962,165000
1268,540,728,244,1268,TA,7800,98,6,5,1268,1954,1954,132000
1287,72,733,576,1287,Gd,9830,17,7,5,1063,1959,2006,162000
953,0,953,460,1664,TA,8121,40,5,6,953,2000,2000,172400
1120,0,0,680,1588,TA,17120,59,4,4,0,1959,1959,134432
752,623,0,264,752,TA,7175,0,5,6,744,1984,1984,125000
1319,428,0,270,1319,TA,10634,0,6,5,608,1953,1953,123000
847,0,847,434,1928,Gd,8200,48,5,7,847,2003,2004,219500
904,350,333,0,904,Fa,10020,0,1,1,683,1922,1950,61000
914,298,572,576,914,TA,8846,0,5,5,870,1996,1996,148000
1580,0,1580,610,2466,Gd,11143,214,5,8,1580,2004,2005,340000
1856,1445,411,834,1856,Ex,11394,0,2,9,1856,2010,2010,394432
1007,0,982,463,1800,TA,8123,63,5,6,982,2000,2000,179000
1026,218,808,308,1691,Gd,5000,0,6,5,1026,1924,1950,127000
1301,0,1293,572,1301,Gd,7200,121,5,7,1293,2006,2006,187750
939,0,939,639,1797,Gd,9245,53,5,7,939,2006,2006,213500
784,0,784,360,784,TA,9000,0,3,6,784,1928,1950,76000
1079,985,595,501,1953,Gd,53107,231,5,6,1580,1992,1992,240000
