1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1378,0,994,432,2372,TA,6600,60.0,287,4,5,994,1892,1965,107500
802,0,384,402,1472,Gd,10784,69.0,0,5,7,384,1991,1992,160000
960,648,0,364,960,TA,10246,69.0,0,9,4,648,1965,2001,145000
734,0,732,372,1838,TA,21930,60.0,40,5,5,732,2005,2005,192140
1309,663,0,484,1309,Gd,10140,78.0,0,6,6,1040,1974,1999,181000
2069,0,2153,694,2643,Ex,13693,105.0,84,5,9,2153,2006,2006,380000
676,0,676,200,1131,TA,5720,52.0,0,6,5,676,1941,1950,66500
960,0,960,400,1960,TA,7596,60.0,0,5,5,960,1952,1952,124500
1144,25,247,336,1144,TA,9204,71.0,88,5,5,1144,1963,1963,124000
1056,1056,0,576,1056,TA,6979,64.0,56,5,6,1056,1980,1980,144000
693,0,693,0,693,Fa,4118,153.0,20,4,4,693,1941,1950,52500
1494,1200,279,576,1494,Gd,9236,79.0,27,5,6,1479,1997,1997,217000
1646,1373,221,482,1646,Gd,3842,44.0,53,5,8,1594,2004,2005,275000
864,390,474,352,864,TA,7180,60.0,0,7,5,864,1972,1972,127000
1566,1078,488,750,1566,Gd,9000,75.0,168,5,8,1566,2008,2008,262500
735,593,130,497,1395,TA,12936,69.0,116,6,6,723,1972,1972,162000
848,152,628,539,1208,TA,6240,52.0,23,5,4,780,1925,1950,103000
939,0,939,180,1513,TA,6120,51.0,0,8,5,939,1920,2004,137500
959,425,459,560,1367,TA,6240,52.0,0,6,6,884,1931,1950,127500
955,763,192,386,955,TA,7742,66.0,0,7,5,955,1966,1966,127000
1077,0,1007,210,1077,TA,9786,60.0,100,4,3,1007,1922,1950,91000
1056,1056,0,572,1056,TA,34650,100.0,0,5,5,1056,1955,1955,145000
756,0,756,615,1553,Gd,8125,65.0,45,5,7,756,2005,2006,186500
1614,20,1594,865,1614,Gd,11210,86.0,59,5,7,1614,2005,2006,221500
2042,0,2042,1390,2042,Ex,12704,98.0,90,5,8,2042,2008,2009,253293
1073,0,1073,326,1073,TA,5400,60.0,0,6,5,1073,1921,1968,108480
1072,336,295,240,1285,TA,8635,50.0,0,5,5,672,1948,2001,127000
2117,865,340,550,2117,TA,12925,69.0,42,7,6,1205,1970,1970,237500
605,348,180,0,605,TA,9098,58.0,0,7,4,528,1920,2002,86000
1150,179,465,300,1150,TA,7945,70.0,0,6,5,1150,1959,1959,141000
728,0,728,400,1456,Gd,8029,51.0,24,5,6,728,2005,2005,176000
999,867,77,588,999,Ex,12122,69.0,76,9,7,944,1961,2007,178400
750,0,750,564,1500,Gd,8846,68.0,35,5,6,750,2005,2006,173900
1336,841,324,375,1336,TA,15750,90.0,0,5,5,1165,1953,1953,157000
864,759,80,398,1593,TA,7415,62.0,75,5,6,839,2004,2004,193000
1130,936,168,836,2184,Ex,11308,96.0,102,5,9,1104,2008,2008,335000
1560,0,1560,573,1560,Gd,9196,129.0,150,5,7,1560,2003,2003,201000
888,386,342,312,1644,Gd,9480,79.0,0,7,5,728,1942,1995,146500
630,515,115,286,630,Gd,1526,21.0,0,8,4,630,1970,2002,86000
1113,751,392,504,1113,TA,7917,69.0,30,7,6,1143,1976,1976,148000
1071,0,1063,947,2172,Gd,14154,109.0,62,5,7,1063,2006,2006,280000
796,0,560,384,1346,TA,11767,70.0,24,7,4,560,1910,2000,112000
1184,64,1120,550,2610,Ex,9000,75.0,364,5,8,1184,2007,2007,303477
1026,0,1026,936,1958,Gd,10625,85.0,210,5,7,1026,2005,2005,250000
1468,0,1468,898,1468,Gd,9612,74.0,150,5,8,1468,2008,2009,244600
1302,0,0,539,1734,Gd,10125,75.0,0,5,5,0,1977,1977,126000
768,352,416,240,1200,TA,11767,70.0,0,6,5,768,1946,1995,130500
1112,812,280,438,1550,Gd,8125,65.0,168,5,7,1092,2006,2007,241000
954,0,795,440,2230,TA,6204,60.0,188,5,4,795,1912,1950,118500
1166,0,1064,240,1639,TA,10480,51.0,0,5,6,1064,1936,1950,115000
864,521,169,624,864,TA,9100,70.0,0,5,5,864,1958,1958,129900
1621,213,995,440,1621,Gd,14145,91.0,45,7,7,1208,1984,1998,202500
483,162,321,264,987,Gd,1680,21.0,0,8,6,483,1972,2007,118000
1238,965,245,628,2519,Gd,26178,42.0,27,5,7,1210,1989,1990,335000
765,765,0,440,1365,TA,2368,24.0,36,6,5,765,1970,1970,125000
1149,0,1128,779,2290,Gd,11250,69.0,0,5,8,1128,2002,2002,255900
1249,0,1249,840,2596,Gd,16259,111.0,154,5,9,1249,2006,2006,342643
907,288,619,352,907,TA,8593,77.0,0,6,4,907,1957,1957,109008
855,566,289,440,1456,TA,2280,24.0,0,6,6,855,1976,1976,148500
1190,803,303,540,1190,TA,7728,70.0,18,6,5,1106,1962,1962,132500
858,322,536,684,858,TA,7340,69.0,0,6,4,858,1971,1971,110000
2223,1880,343,516,2223,TA,13651,95.0,0,6,7,2223,1973,1973,244000
1005,0,1005,672,1005,Fa,10434,60.0,0,5,4,1005,1955,1955,115000
1086,0,712,409,1895,Gd,10832,69.0,46,5,7,712,1994,1996,194500
1040,906,134,384,1040,TA,11200,70.0,0,5,5,1040,1965,1965,129500
1264,697,571,461,1264,TA,9300,73.0,0,5,5,1268,1960,1960,167500
874,0,874,578,1761,Gd,10207,84.0,105,6,7,874,2007,2007,227875
1034,539,473,888,1034,TA,12328,69.0,0,5,6,1012,1976,1976,169900
1363,226,96,439,1363,TA,39104,73.0,0,7,7,1385,1954,2005,241500
1689,0,1436,480,1689,TA,9855,73.0,0,5,6,1436,1956,1956,127500
2113,1696,413,839,2113,Gd,10437,91.0,46,6,8,2109,1995,1995,350000
1573,788,785,544,1573,Gd,9808,67.0,72,5,7,1573,2002,2002,227000
2364,2188,142,820,2364,Ex,12919,100.0,67,5,9,2330,2009,2010,611657
1057,739,318,645,2034,Gd,9375,69.0,36,5,7,1057,1997,1998,219500
1291,1003,288,431,1291,Gd,2887,69.0,0,5,6,1291,1996,1997,173000
858,696,162,0,858,TA,7207,50.0,0,7,5,858,1958,2008,116500
698,204,356,280,1258,TA,9060,60.0,0,5,6,560,1939,1950,105000
438,290,0,246,438,Fa,8400,60.0,0,5,2,290,1920,1950,60000
672,209,463,440,1400,TA,7844,74.0,0,7,6,672,1978,1978,149500
954,0,920,240,954,Fa,6305,50.0,0,7,5,920,1938,1950,119750
1445,564,563,645,1445,TA,12095,69.0,0,6,6,1127,1964,1964,158000
1072,459,88,525,1072,TA,3675,35.0,28,5,6,547,2005,2005,148000
1664,0,0,0,1664,TA,9825,75.0,0,5,5,0,1965,1965,100000
1445,0,844,441,2134,Gd,11888,69.0,60,6,6,844,1916,1994,214500
1940,428,537,380,3194,TA,12168,78.0,0,6,8,965,1934,1998,359100
912,0,912,0,1824,TA,9400,94.0,0,5,6,912,1971,1971,139000
888,742,130,422,1756,TA,9303,69.0,122,5,6,872,1996,1997,204000
912,595,317,576,912,Gd,8872,72.0,240,8,5,912,1965,2008,147000
1509,783,678,600,1509,Gd,10200,85.0,0,5,6,1461,1988,1989,175000
1160,264,712,216,1608,Gd,6171,51.0,16,6,6,976,1925,1990,137450
1316,28,1288,397,1316,Gd,10237,65.0,0,5,6,1316,2005,2006,169990
1015,489,279,450,1015,TA,6120,51.0,0,7,5,768,1925,1950,88000
756,312,444,240,1134,TA,8160,60.0,0,6,5,756,1940,1950,126000
1636,63,1560,865,1636,Gd,13501,116.0,60,5,8,1623,2006,2006,255000
660,0,660,400,1320,Gd,7750,69.0,48,5,7,660,2003,2003,162000
1160,249,0,538,2126,TA,28698,69.0,0,5,5,1013,1967,1967,185000
1128,776,344,525,1128,TA,8700,80.0,20,6,5,1120,1963,1963,155000
1306,860,132,756,1306,TA,8712,64.0,0,7,5,992,1957,2000,153000
798,0,546,0,1344,TA,1533,21.0,0,6,4,546,1970,2008,97000
1576,0,718,704,2554,TA,10800,60.0,48,8,7,718,1890,1998,159500
893,220,625,576,893,Gd,9600,60.0,0,7,5,845,1949,2003,135000
894,0,894,668,1933,Gd,14598,86.0,18,5,6,894,2007,2007,214000
672,356,316,264,1218,TA,1890,21.0,28,5,6,672,1973,1973,113000
1161,0,808,534,1969,TA,11952,92.0,0,6,7,808,1977,1977,190000
1220,1079,141,556,2090,Gd,10000,80.0,65,5,8,1220,1995,1996,240000
1484,998,486,487,1484,TA,12243,70.0,0,6,5,1484,1971,1971,175000
1656,0,1656,506,1656,TA,9246,87.0,211,5,5,1656,1973,1973,135000
818,468,350,210,1224,TA,3950,69.0,0,8,6,818,1926,2004,115000
1022,695,297,390,2054,Gd,12224,69.0,48,5,6,992,2000,2000,244000
854,0,832,576,854,TA,6120,51.0,112,8,7,832,1929,2001,132000
546,334,212,286,1092,TA,1974,69.0,96,5,4,546,1973,1973,83500
1268,196,1072,252,1268,Gd,9286,69.0,0,7,5,1268,1977,1989,143500
827,385,70,550,1661,Gd,10667,43.0,61,6,7,799,1996,1996,212000
1668,370,315,502,1668,Gd,10635,48.0,262,5,8,1657,2003,2003,232000
1493,994,484,508,1493,Gd,13125,75.0,39,5,6,1478,1997,1998,208900
932,0,932,306,932,Gd,8280,57.0,0,5,6,932,1950,1950,124000
1277,778,499,526,1277,TA,10628,85.0,0,5,7,1277,1970,1970,167000
1530,1300,230,630,1530,Gd,14572,182.0,36,5,7,1530,2004,2004,259000
1344,457,193,484,1344,TA,9503,69.0,28,5,5,1024,1958,1983,144000
860,672,168,528,860,TA,8740,74.0,0,6,5,840,1982,1982,137000
1314,904,410,626,1314,Gd,5001,34.0,62,5,7,1314,2007,2008,230000
1391,464,927,868,1962,Gd,8760,73.0,90,5,7,1391,2006,2006,239799
788,724,64,388,1490,Gd,15384,60.0,75,5,7,788,2004,2005,184000
848,662,186,420,848,Gd,4426,69.0,0,5,6,848,2004,2004,143000
672,0,672,240,672,TA,10200,60.0,0,8,5,672,1940,1997,108000
1188,275,877,252,2340,Gd,9042,66.0,60,9,7,1152,1941,2006,266500
808,0,660,180,1656,TA,10410,60.0,0,7,5,660,1916,1987,135000
725,626,99,484,1479,Gd,7472,69.0,32,9,7,725,1972,2004,184000
1226,0,1226,740,1226,Gd,10402,94.0,36,5,7,1226,2009,2009,198900
976,568,264,444,2087,Gd,12205,69.0,168,8,6,832,1966,2007,187500
1158,941,217,576,1158,Gd,13072,63.0,50,5,6,1158,2004,2004,158000
1154,740,184,480,1154,TA,11000,69.0,58,6,5,1154,1966,1966,154000
880,0,880,527,1724,Gd,8924,57.0,155,5,7,880,1998,1999,188000
773,219,554,431,1658,TA,8000,69.0,84,5,6,773,1995,1996,188000
1126,0,0,520,1126,Gd,8777,67.0,96,5,4,0,1949,2003,108000
872,0,816,300,1393,TA,16466,59.0,0,7,5,816,1955,1955,135500
1968,192,536,1014,3447,Gd,14100,69.0,12,9,8,728,1935,1997,381000
483,309,174,264,987,TA,1953,21.0,0,5,6,483,1973,1973,83000
808,351,112,0,1355,TA,10106,62.0,0,7,5,644,1940,1999,127500
2069,425,160,505,2069,Gd,27650,313.0,0,7,7,585,1960,2007,242000
757,549,195,440,1501,TA,2280,24.0,0,5,7,744,1999,1999,179400
1976,1350,626,908,1976,Gd,14977,110.0,63,5,8,1976,2006,2007,440000
1563,33,1530,758,1563,Gd,10206,78.0,99,5,8,1563,2007,2007,245000
572,0,572,288,1111,TA,5700,69.0,0,7,7,572,1926,1950,116900
851,0,776,270,1502,TA,7200,60.0,0,6,7,776,1931,2000,149000
1733,0,0,452,1733,TA,13680,69.0,0,5,3,0,1955,1955,139600
1848,1410,438,706,2728,Ex,20431,56.0,0,5,9,1848,2005,2006,437154
630,231,399,264,1302,TA,1680,21.0,0,7,5,630,1972,1972,119500
1332,1258,74,586,1524,Gd,23595,69.0,0,6,7,1332,1979,1979,260000
1120,0,0,680,1588,TA,17120,80.0,59,4,4,0,1959,1959,134432
1125,0,1125,430,1125,TA,8536,74.0,64,5,5,1125,2006,2007,155000
520,0,600,480,1200,Gd,3180,30.0,166,5,7,600,2005,2005,151000
798,0,798,520,1640,Gd,8366,65.0,45,5,6,798,2004,2004,173000
1223,1000,223,525,2127,Gd,10944,81.0,132,5,7,1223,1994,1994,271000
972,680,292,240,972,TA,8000,50.0,0,6,6,972,1948,2002,132000
1142,584,544,466,2020,Gd,9828,80.0,155,5,8,1128,1995,1995,239500
1144,739,405,596,1144,TA,9571,68.0,0,6,5,1144,1956,1956,129000
1352,300,468,288,1352,Gd,6930,92.0,0,4,5,1062,1958,1958,130000
926,234,0,484,1316,TA,5500,50.0,0,7,5,926,1929,2001,130000
1086,956,130,592,1924,Gd,12011,78.0,75,5,8,1086,1998,1998,280000
1164,1040,124,240,1164,TA,10880,68.0,48,5,5,1164,1950,1950,125000
952,852,100,840,952,TA,7350,60.0,0,7,5,952,1951,1951,139000
938,259,425,0,2358,TA,5250,50.0,54,5,8,684,1872,1987,122000
1680,808,72,540,1680,Gd,21695,69.0,44,9,6,880,1988,2007,222000
1221,0,482,672,1912,TA,10800,60.0,25,7,6,482,1905,2000,163000
1004,578,426,480,1004,TA,11241,69.0,0,7,6,1004,1970,1970,149000
774,384,363,305,1230,TA,4712,51.0,57,7,4,747,1946,1950,121600
1167,645,270,495,1167,TA,8731,98.0,0,5,5,915,1920,1950,144000
1301,405,740,440,1301,Fa,6911,60.0,0,5,5,1145,1924,1950,100000
1453,1082,371,445,1453,Gd,5271,69.0,80,5,7,1453,1986,1986,190000
1601,1358,223,670,1601,Gd,11423,69.0,0,5,8,1581,2001,2002,272000
1588,0,1588,825,1588,Gd,10000,85.0,45,5,8,1588,2006,2006,227000
1095,513,75,264,1095,TA,10382,75.0,0,5,6,588,1958,1958,140000
1050,915,135,368,1050,TA,10659,69.0,319,6,5,1050,1961,1961,136500
960,520,440,432,960,TA,10921,73.0,0,5,4,960,1965,1965,94750
1002,0,810,280,1456,TA,7585,50.0,0,3,5,810,1948,1950,91500
1489,0,1489,462,1489,Gd,9156,69.0,0,7,6,1489,1968,1968,185750
1726,1126,600,786,1726,Ex,9416,79.0,138,5,7,1726,2007,2007,311872
1362,0,1362,484,2082,Gd,11426,63.0,238,5,7,1362,2003,2003,200000
1339,1053,256,484,1339,TA,8049,50.0,58,5,7,1309,1990,1990,180000
1310,781,503,1069,2450,Gd,16545,69.0,126,5,8,1284,1998,1998,340000
879,0,879,660,1863,Gd,14054,58.0,17,5,7,879,2006,2006,219210
768,656,112,396,768,TA,8445,70.0,0,7,5,768,1972,2007,133000
334,0,0,0,334,Fa,5000,50.0,0,3,1,0,1946,1950,39300
1136,892,244,384,1136,TA,9200,80.0,0,6,6,1136,1965,1965,140000
1337,1201,36,405,1337,TA,4500,32.0,199,5,6,1237,1998,1998,153500
912,312,0,288,912,TA,7800,66.0,0,5,5,912,1964,1964,115000
876,540,324,264,1812,TA,7590,69.0,168,5,5,864,1962,1962,169500
1052,378,342,240,2192,Gd,8400,60.0,24,8,5,720,1939,1997,179500
658,0,658,0,1184,TA,8410,58.0,151,3,5,658,1910,1996,81000
964,0,925,308,1889,TA,10120,60.0,0,4,7,925,1910,1950,122000
1327,405,658,624,1327,Gd,7388,75.0,0,6,5,1063,1959,2002,150750
1422,588,606,576,1422,Gd,12090,78.0,0,6,6,1422,1981,1981,175500
1632,0,1632,576,1632,TA,25000,100.0,0,4,5,1632,1967,1967,143000
1630,0,1630,451,1630,Gd,9750,75.0,234,5,7,1630,2000,2001,213000
1013,0,1013,0,1526,Fa,8470,105.0,0,2,3,1013,1915,1982,85000
1040,0,0,420,1040,TA,7200,60.0,0,5,4,0,1949,1950,90000
841,0,806,216,1647,Fa,6858,66.0,66,4,6,806,1915,1950,128000
1328,622,500,576,1981,Gd,7804,65.0,44,3,4,1122,1928,1950,135000
1644,1285,131,418,1644,TA,9600,80.0,0,5,6,1416,1953,1953,167000
1482,0,1482,868,2574,Ex,9588,69.0,148,5,8,1482,2007,2007,276000
1060,0,764,520,1824,TA,13515,60.0,0,6,6,764,1919,1950,180500
1350,624,288,520,1350,TA,9020,82.0,0,5,6,1248,1964,1964,168500
958,958,0,440,958,TA,4928,69.0,60,6,6,958,1976,1976,143750
1053,0,833,370,1848,Gd,13053,64.0,0,7,6,833,1923,2000,207000
1620,1116,165,490,1620,TA,9991,69.0,78,4,4,1281,1976,1993,150000
1167,560,598,400,1167,Gd,9248,69.0,26,6,6,1158,1992,1992,173000
798,94,641,220,1487,TA,8741,52.0,140,4,6,735,1945,1950,113000
892,432,460,288,892,TA,7150,65.0,0,5,5,892,1967,1967,100000
804,510,278,240,804,Gd,7200,60.0,0,7,5,788,1940,1992,119000
1140,0,1140,0,1140,TA,17217,90.0,56,5,5,1140,2006,2006,84500
983,400,380,483,1796,TA,7056,71.0,50,5,6,780,1963,1963,140000
1118,156,692,551,2030,Gd,12046,69.0,224,6,6,848,1976,1976,195000
1026,765,252,812,2007,Ex,11003,85.0,52,5,10,1017,2008,2008,310000
691,0,691,216,691,Ex,5400,60.0,20,6,5,691,1920,1950,86000
786,0,768,676,1590,Gd,9000,75.0,30,5,8,768,2008,2008,210000
1216,444,550,325,1855,TA,9525,75.0,0,4,6,994,1954,1972,136900
1028,0,994,442,1804,Gd,7500,60.0,60,5,7,994,1999,1999,189000
884,550,334,543,1768,Gd,8158,65.0,63,5,7,884,2003,2003,224900
1831,1387,543,807,3627,Gd,35760,118.0,76,5,10,1930,1995,1996,625000
1298,1258,40,403,1298,Gd,11200,69.0,26,5,6,1298,1985,1985,180000
1801,1247,254,484,1801,TA,15602,100.0,54,8,7,1501,1959,1997,289000
630,553,77,0,630,Ex,1533,21.0,0,7,5,630,1970,1970,92000
1103,397,706,440,1103,Gd,6000,50.0,120,6,6,1103,1925,1980,110500
859,0,859,384,1178,TA,8712,66.0,0,7,4,859,1900,1950,102776
1196,197,999,440,1196,TA,4800,40.0,0,7,4,1196,1916,1990,109900
1372,0,1372,529,1372,Gd,8640,72.0,140,5,7,1372,2007,2008,250580
1431,371,728,296,1431,TA,9150,101.0,110,5,6,1099,1962,1962,165000
1422,0,1422,626,1422,Gd,8500,63.0,60,5,7,1422,2004,2004,179600
1079,985,595,501,1953,Gd,53107,69.0,231,5,6,1580,1992,1992,240000
1121,0,1121,440,1121,TA,8546,80.0,64,5,4,1121,2003,2004,140000
1143,0,1143,852,2473,Gd,9591,76.0,151,5,8,1143,2004,2005,317000
1057,417,640,576,1057,TA,7420,70.0,0,5,5,1057,1962,1962,132000
1110,1097,0,602,1110,Gd,9101,69.0,30,6,5,1097,1978,1978,165500
1164,524,628,671,2270,Gd,11764,92.0,57,7,8,1152,1999,2007,290000
2018,0,2002,746,2018,Ex,13214,89.0,76,5,9,2002,2008,2009,378500
672,438,234,440,1386,TA,11616,69.0,0,5,6,672,1978,1978,158900
1082,0,1082,1043,1953,Gd,10574,85.0,50,5,8,1082,2005,2006,252000
1337,733,604,462,1337,Gd,5395,41.0,0,5,8,1337,1993,1993,180000
997,0,969,648,2285,Gd,11000,69.0,56,5,8,969,2000,2000,248000
1718,1288,417,826,1718,Gd,10637,79.0,44,5,8,1705,2007,2008,297000
1086,516,380,484,1086,TA,13400,85.0,0,5,5,1024,1966,1966,159950
1555,0,1373,660,1555,Gd,3684,53.0,20,5,7,1373,2007,2007,174000
1902,1406,496,567,1902,Ex,17500,100.0,207,8,7,1902,1959,2002,335000
1298,1216,0,693,2514,TA,11170,69.0,0,5,7,1216,1990,1991,250000
1224,1086,0,528,1224,TA,7018,64.0,0,5,5,1086,1979,1979,153337
1054,602,14,460,1054,TA,9750,65.0,0,8,6,1054,1969,1969,151000
1276,854,371,676,2612,Gd,12203,98.0,0,5,8,1225,1998,1999,336000
902,599,277,288,902,TA,6173,69.0,0,6,5,876,1967,1967,125500
1153,692,153,484,2353,Ex,13005,94.0,195,7,7,845,1980,1980,260000
689,378,311,299,1392,TA,10900,69.0,36,7,6,689,1977,1977,161750
1155,899,210,576,1155,Gd,11782,88.0,0,7,5,1109,1961,1995,148000
1136,180,676,240,1904,TA,7200,60.0,0,4,5,1208,1950,1982,138000
950,0,862,208,1158,TA,6000,50.0,0,7,6,862,1929,1950,120000
751,0,611,502,1362,TA,6155,60.0,0,8,6,611,1920,1999,128000
1005,0,975,429,2291,Gd,8738,66.0,0,5,7,975,1999,1999,230000
649,0,649,250,1317,TA,8500,50.0,54,4,4,649,1920,1950,40000
1734,1004,730,928,1734,Ex,12085,93.0,0,5,8,1734,2007,2007,318000
1194,0,1194,312,1194,TA,8760,73.0,0,6,6,1194,1959,1959,148000
876,0,876,720,1416,TA,12665,100.0,0,8,5,876,1915,1950,153900
1383,1064,319,354,1383,TA,13284,69.0,116,5,5,1383,1954,1954,165000
1001,284,717,871,2002,TA,6270,82.0,0,6,5,1001,1949,1950,145000
1496,0,1496,474,1496,Gd,9158,76.0,130,5,8,1496,2007,2007,225000
984,408,156,660,1604,TA,10998,60.0,68,5,5,984,1941,1960,117000
764,0,680,504,764,TA,5232,30.0,0,5,5,680,1925,2004,73000
977,0,741,476,1732,Gd,9206,77.0,46,5,6,741,1985,1985,178000
1494,0,1494,840,1494,Gd,10652,91.0,33,5,7,1494,2006,2007,279500
986,0,960,180,986,TA,6180,60.0,128,5,6,960,1926,1950,102000
1145,16,1129,397,1145,Gd,3182,43.0,16,5,7,1145,2005,2006,160200
742,0,742,0,1484,TA,6300,35.0,291,6,6,742,1914,2001,128000
1344,111,354,525,1344,Gd,14375,69.0,118,6,6,819,1958,1958,137500
958,0,650,686,1539,Gd,10440,60.0,78,8,5,650,1904,2002,157500
1134,0,1122,656,2504,Ex,11198,77.0,39,5,9,1122,2005,2007,325000
